StateID,TemporalPropertyID,BinID,BinLow,BinHigh
1,1,0,-inf,24.806359580299677
2,1,1,24.806359580299677,39.61636769242759
3,1,2,39.61636769242759,inf
4,2,0,-inf,inf
5,3,0,-inf,inf
6,4,0,-inf,23.720805366355464
7,4,1,23.720805366355464,28.279194633644533
8,4,2,28.279194633644533,inf
9,5,0,-inf,inf
10,6,0,-inf,37.72685163859902
11,6,1,37.72685163859902,53.13981502806764
12,6,2,53.13981502806764,inf
13,39,0,-inf,7.192675866217471
14,39,1,7.192675866217471,8.568646447832114
15,39,2,8.568646447832114,inf
16,40,0,-inf,86.562855050612
17,40,1,86.562855050612,100.48886908731905
18,40,2,100.48886908731905,inf
19,41,0,-inf,159.9624694503971
20,41,1,159.9624694503971,179.89295223634988
21,41,2,179.89295223634988,inf
22,42,0,-inf,129.37133527412615
23,42,1,129.37133527412615,183.51890862831283
24,42,2,183.51890862831283,inf
25,43,0,-inf,4.091647955223492
26,43,1,4.091647955223492,4.351327251388077
27,43,2,4.351327251388077,inf
28,44,0,-inf,1.0350454011862174
29,44,1,1.0350454011862174,1.164736019578809
30,44,2,1.164736019578809,inf
31,55,0,-inf,0.08465281113778036
32,55,1,0.08465281113778036,0.5820138555288862
33,55,2,0.5820138555288862,inf
